"State","2000","2004","2008","2012"
Alabama,R,R,R,R
Alaska,R,R,R,R
Arizona,R,R,R,R
Arkansas,R,R,R,R
California,D,D,D,D
Colorado,R,R,D,D
Connecticut,D,D,D,D
Delaware,D,D,D,D
District of Columbia,D,D,D,D
Florida,R,R,D,D
Georgia,R,R,R,R
Hawaii,D,D,D,D
Idaho,R,R,R,R
Illinois,D,D,D,D
Indiana,R,R,D,R
Iowa,D,R,D,D
Kansas,R,R,R,R
Kentucky,R,R,R,R
Louisiana,R,R,R,R
Maine,D,D,D,D
Maryland,D,D,D,D
Massachusetts,D,D,D,D
Michigan,D,D,D,D
Minnesota,D,D,D,D
Mississippi,R,R,R,R
Missouri,R,R,R,R
Montana,R,R,R,R
Nebraska,R,R,R,R
Nevada,R,R,D,D
New Hampshire,R,D,D,D
New Jersey,D,D,D,D
New Mexico,D,R,D,D
New York,D,D,D,D
North Carolina,R,R,D,R
North Dakota,R,R,R,R
Ohio,R,R,D,D
Oklahoma,R,R,R,R
Oregon,D,D,D,D
Pennsylvania,D,D,D,D
Rhode Island,D,D,D,D
South Carolina,R,R,R,R
South Dakota,R,R,R,R
Tennessee,R,R,R,R
Texas,R,R,R,R
Utah,R,R,R,R
Vermont,D,D,D,D
Virginia,R,R,D,D
Washington,D,D,D,D
West Virginia,R,R,R,R
Wisconsin,D,D,D,D
Wyoming,R,R,R,R
